chargeDescription,codeUcr,count,comb,category
ABUSE/CRUELTY TO ELDERLY/DEPENDENT ADULT,4,20,ABUSE/CRUELTY TO ELDERLY/DEPENDENT ADULT - 4,0
ABUSE/CRUELTY TO ELDERLY/DEPENDENT ADULT WITH GBI LIKELY,4,1,ABUSE/CRUELTY TO ELDERLY/DEPENDENT ADULT WITH GBI LIKELY - 4,0
ADW ON PEACE OFFICER/FIREMAN/NOT GUN,4,1,ADW ON PEACE OFFICER/FIREMAN/NOT GUN - 4,0
ADW WITH FORCE:POSSIBLE GBI,4,50,ADW WITH FORCE:POSSIBLE GBI - 4,0
ADW WITH FORCE:POSSIBLE GBI (F),4,1,ADW WITH FORCE:POSSIBLE GBI (F) - 4,0
AGGRAVATED MAYHEM,4,1,AGGRAVATED MAYHEM - 4,0
ASSAULT,4,7,ASSAULT - 4,0
ASSAULT ON PARKING CONTROL OFFICER (M),4,2,ASSAULT ON PARKING CONTROL OFFICER (M) - 4,0
ASSAULT ON PEACE OFFICER/EMERGENCY PERSONNEL (M),4,1,ASSAULT ON PEACE OFFICER/EMERGENCY PERSONNEL (M) - 4,0
ASSAULT ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC (M),4,10,ASSAULT ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC (M) - 4,0
ASSAULT ON PERS (Simple Assault) (M),4,31,ASSAULT ON PERS (Simple Assault) (M) - 4,0
ASSAULT ON PERSON (M),4,7,ASSAULT ON PERSON (M) - 4,0
ASSAULT ON PERSON ON SCHOOL PROPERTY,4,1,ASSAULT ON PERSON ON SCHOOL PROPERTY - 4,0
ASSAULT ON SCHOOL GROUNDS NOT INPRESENCE OF PEACE OFFICER,4,2,ASSAULT ON SCHOOL GROUNDS NOT INPRESENCE OF PEACE OFFICER - 4,0
ASSAULT OR BATTERY ON SCHOOL PROPERTY (M),4,2,ASSAULT OR BATTERY ON SCHOOL PROPERTY (M) - 4,0
ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE,4,74,ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE - 4,0
ASSAULT W/INTENT TO COMMIT FELONY (NO/INJ OR WEAPON) (F),4,24,ASSAULT W/INTENT TO COMMIT FELONY (NO/INJ OR WEAPON) (F) - 4,0
ASSAULT WITH A DEADLY WEAPON OR BY FORCE,4,9,ASSAULT WITH A DEADLY WEAPON OR BY FORCE - 4,0
ATT TO PREVENT/DISSUADE VIC/WIT (F),4,3,ATT TO PREVENT/DISSUADE VIC/WIT (F) - 4,0
ATT TO PREVENT/DISSUADE VIC/WIT FROM PROSECUTING (F),4,2,ATT TO PREVENT/DISSUADE VIC/WIT FROM PROSECUTING (F) - 4,0
ATT TO PREVENT/DISSUADE VIC/WIT FROM REPORTING (F),4,4,ATT TO PREVENT/DISSUADE VIC/WIT FROM REPORTING (F) - 4,0
ATTEMPTED MURDER/DEGREE UNSPECIFIED,4,5,ATTEMPTED MURDER/DEGREE UNSPECIFIED - 4,1
BATTERY AGAINST A POLICE OFFICER,4,1,BATTERY AGAINST A POLICE OFFICER - 4,0
BATTERY AGAINST EMERGENCY PERSON MINOR INJURY (M),4,23,BATTERY AGAINST EMERGENCY PERSON MINOR INJURY (M) - 4,0
BATTERY AGAINST EMERGENCY PERSON/ETC,4,5,BATTERY AGAINST EMERGENCY PERSON/ETC - 4,0
BATTERY AGAINST POLICE OFFICER,4,5,BATTERY AGAINST POLICE OFFICER - 4,0
BATTERY AGAINST POLICE OFFICER WITH MINOR INJURY (F),4,21,BATTERY AGAINST POLICE OFFICER WITH MINOR INJURY (F) - 4,0
BATTERY OF ELDER OR DEPENDENT ADULT,4,14,BATTERY OF ELDER OR DEPENDENT ADULT - 4,0
BATTERY ON ANY PERSON ON PUBLIC TRANSPORTATION/PROPERTY,4,2,BATTERY ON ANY PERSON ON PUBLIC TRANSPORTATION/PROPERTY - 4,0
BATTERY ON ANY PERSON ON PUBLIC TRANSPORTATION/PROPERTY (M),4,1,BATTERY ON ANY PERSON ON PUBLIC TRANSPORTATION/PROPERTY (M) - 4,0
BATTERY ON CUSTODIAL OFFICER WITH NO INJURY / MINOR INJURY (F),4,1,BATTERY ON CUSTODIAL OFFICER WITH NO INJURY / MINOR INJURY (F) - 4,0
BATTERY ON CUSTODIAL OFFICIAL,4,3,BATTERY ON CUSTODIAL OFFICIAL - 4,0
BATTERY ON ELDER OR DEPENDENT ADULT WITH NO INJURY / MINOR INJURY (M),4,93,BATTERY ON ELDER OR DEPENDENT ADULT WITH NO INJURY / MINOR INJURY (M) - 4,0
BATTERY ON NONCOHABITATING FORMER SPOUSE,4,37,BATTERY ON NONCOHABITATING FORMER SPOUSE - 4,0
BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL,4,46,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL - 4,0
BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL WITH INJURY,4,2,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL WITH INJURY - 4,0
BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC (M),4,280,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC (M) - 4,0
BATTERY ON PERSON,4,342,BATTERY ON PERSON - 4,0
BATTERY ON PERSON (M),4,2410,BATTERY ON PERSON (M) - 4,0
BATTERY ON PERSON ON SCHOOL/HOSPITAL/PARK PROPERTY,4,32,BATTERY ON PERSON ON SCHOOL/HOSPITAL/PARK PROPERTY - 4,0
BATTERY ON PERSON ON SCHOOL/HOSPITAL/PARK PROPERTY (M),4,8,BATTERY ON PERSON ON SCHOOL/HOSPITAL/PARK PROPERTY (M) - 4,0
BATTERY ON SCHOOL EMPLOYEE,4,4,BATTERY ON SCHOOL EMPLOYEE - 4,0
BATTERY ON TRANSPORTATION PERSONNEL/PASSENGER (M),4,4,BATTERY ON TRANSPORTATION PERSONNEL/PASSENGER (M) - 4,0
BATTERY W/SERIOUS BODILY INJURY,4,27,BATTERY W/SERIOUS BODILY INJURY - 4,0
BATTERY WITH SERIOUS BODILY INJURY (F),4,228,BATTERY WITH SERIOUS BODILY INJURY (F) - 4,0
BATTERY WITH SERIOUS BODILY INJURY (PUNISHMENT),4,9,BATTERY WITH SERIOUS BODILY INJURY (PUNISHMENT) - 4,0
BATTERY: SPOUSE/EX SPOUSE/DATE/ETC,4,638,BATTERY: SPOUSE/EX SPOUSE/DATE/ETC - 4,0
BATTERY:SPOUSE/EX SPOUSE/DATE/ETC (M),4,3648,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC (M) - 4,0
CAUSE ELDER/DEPENDENT ADULT:HARM/DEATH,4,9,CAUSE ELDER/DEPENDENT ADULT:HARM/DEATH - 4,0
CAUSE GREAT BODILY HARM/DEATH OF ELDER/DEPENDENT ADULT,4,13,CAUSE GREAT BODILY HARM/DEATH OF ELDER/DEPENDENT ADULT - 4,0
ELDER / DEPENDANT ADULT ABUSE CAUSING GBI,4,1,ELDER / DEPENDANT ADULT ABUSE CAUSING GBI - 4,0
ELDER ABUSE/NEGLECT (M),4,292,ELDER ABUSE/NEGLECT (M) - 4,0
FALSE BOMB/ETC REPORT TO ANY PERSON (Intimidation) (F),4,1,FALSE BOMB/ETC REPORT TO ANY PERSON (Intimidation) (F) - 4,0
INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/PRIORS (F),4,26,INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/PRIORS (F) - 4,0
INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/PRIORS (M),4,4,INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/PRIORS (M) - 4,0
INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,4,680,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT - 4,0
INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT WITH PRIORS,4,5,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT WITH PRIORS - 4,0
INFLICT MINOR INJ UPON CHILD (F),4,45,INFLICT MINOR INJ UPON CHILD (F) - 4,0
LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F),4,6,LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F) - 4,0
LIKELY TO CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F),4,187,LIKELY TO CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F) - 4,0
LYNCHING WITH NO INJURY / MINOR INJURY (F),4,1,LYNCHING WITH NO INJURY / MINOR INJURY (F) - 4,0
MAYHEM,4,1,MAYHEM - 4,0
OBSTRUCT/RESIST EXECUTIVE OFFICER,4,55,OBSTRUCT/RESIST EXECUTIVE OFFICER - 4,0
OBSTRUCT/RESIST EXECUTIVE OFFICER WITH MINOR INJURY (F),4,276,OBSTRUCT/RESIST EXECUTIVE OFFICER WITH MINOR INJURY (F) - 4,0
OBSTRUCT/RESIST PUB OFFICER,4,4,OBSTRUCT/RESIST PUB OFFICER - 4,0
OBSTRUCT/RESIST/DELAY PUBLIC PEACE OFFICE OR EM TECH.,4,3,OBSTRUCT/RESIST/DELAY PUBLIC PEACE OFFICE OR EM TECH. - 4,0
PREVENT/DISSUADE VIC/WIT (F),4,14,PREVENT/DISSUADE VIC/WIT (F) - 4,0
PREVENT/DISSUADE WIT VIC BY THREAT/FORCE (F),4,6,PREVENT/DISSUADE WIT VIC BY THREAT/FORCE (F) - 4,0
PREVENT/DISSUADE WIT/VIC FOR GAIN (F),4,1,PREVENT/DISSUADE WIT/VIC FOR GAIN (F) - 4,0
REMOVE/ETC WEAPON FROM PEACE OFFICER/ETC:NOT FIREARM,4,1,REMOVE/ETC WEAPON FROM PEACE OFFICER/ETC:NOT FIREARM - 4,0
SEXUAL BATTERY,4,21,SEXUAL BATTERY - 4,0
SIMPLE ASSAULT ON PERSON ON SCHOOL OR PARK PROPERTY (M),4,1,SIMPLE ASSAULT ON PERSON ON SCHOOL OR PARK PROPERTY (M) - 4,0
SIMPLE BATTERY (M),4,2764,SIMPLE BATTERY (M) - 4,0
SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F),4,3506,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F) - 4,0
STALKING (F),4,78,STALKING (F) - 4,0
STALKING W/PR (F),4,4,STALKING W/PR (F) - 4,0
STALKING:TEMPORARY RESTRAINING ORDER (F),4,16,STALKING:TEMPORARY RESTRAINING ORDER (F) - 4,0
TERRORIST THREATS THAT THREATEN FAMILY,4,18,TERRORIST THREATS THAT THREATEN FAMILY - 4,0
THREATEN CRIME WITH INTENT TO TERRORIZE,4,109,THREATEN CRIME WITH INTENT TO TERRORIZE - 4,0
THREATEN CRIME WITH INTENT TO TERRORIZE (F),4,867,THREATEN CRIME WITH INTENT TO TERRORIZE (F) - 4,0
THREATEN CRIME WITH INTENT TO TERRORIZE (M),4,210,THREATEN CRIME WITH INTENT TO TERRORIZE (M) - 4,0
THREATEN EXECUTIVE OFFICER WITH VIOLENCE (F),4,57,THREATEN EXECUTIVE OFFICER WITH VIOLENCE (F) - 4,0
THREATEN SCHOOL/PUBLIC OFCR/EMPLOYEE (F),4,5,THREATEN SCHOOL/PUBLIC OFCR/EMPLOYEE (F) - 4,0
THREATS VERBALLY USE WEAPON OF MASS DESTRUCTION (F),4,1,THREATS VERBALLY USE WEAPON OF MASS DESTRUCTION (F) - 4,0
THROW SUBS AT VEH ON HWY (M),4,64,THROW SUBS AT VEH ON HWY (M) - 4,0
VIOLATE CIVIL RIGHTS BY FORCE OR THREAT,4,6,VIOLATE CIVIL RIGHTS BY FORCE OR THREAT - 4,0
VIOLATE CIVIL RIGHTS BY THREAT OF FORCE (M),4,13,VIOLATE CIVIL RIGHTS BY THREAT OF FORCE (M) - 4,0
VIOLATE CIVIL RIGHTS W/INJURY OR PROPERTY DAMAGE > $500,4,1,VIOLATE CIVIL RIGHTS W/INJURY OR PROPERTY DAMAGE > $500 - 4,0
VIOLATE CIVIL RIGHTS: CAUSE MINOR INJURY (M),4,15,VIOLATE CIVIL RIGHTS: CAUSE MINOR INJURY (M) - 4,0
WILLFUL CRUELTY TO CHILD NO GBI (M),4,183,WILLFUL CRUELTY TO CHILD NO GBI (M) - 4,0
WILLFUL CRUELTY TO CHILD WITHOUT INJURY OR DEATH (F),4,99,WILLFUL CRUELTY TO CHILD WITHOUT INJURY OR DEATH (F) - 4,0
MURDER,1A0,11,MURDER - 1A0,1
MURDER (F),1A0,108,MURDER (F) - 1A0,1
AGG SEXUAL ASSAULT:CHILD UNDER 14 (F),2A0,1,AGG SEXUAL ASSAULT:CHILD UNDER 14 (F) - 2A0,1
ATTEMPTED RAPE,2A0,1,ATTEMPTED RAPE - 2A0,1
RAPE,2A0,47,RAPE - 2A0,1
RAPE BY FORCE/FEAR (F),2A0,368,RAPE BY FORCE/FEAR (F) - 2A0,1
RAPE BY THREAT OF RETALIATION (F),2A0,1,RAPE BY THREAT OF RETALIATION (F) - 2A0,1
RAPE OF DRUGGED VIC (F),2A0,100,RAPE OF DRUGGED VIC (F) - 2A0,1
RAPE OF SPOUSE BY THREAT OF RETALIATION (F),2A0,1,RAPE OF SPOUSE BY THREAT OF RETALIATION (F) - 2A0,1
RAPE OF SPOUSE UNDER CONTROLLED SUB (F),2A0,3,RAPE OF SPOUSE UNDER CONTROLLED SUB (F) - 2A0,1
RAPE SPOUSE BY FORCE/FEAR (F),2A0,16,RAPE SPOUSE BY FORCE/FEAR (F) - 2A0,1
RAPE SPOUSE BY FORCE/FEAR/ETC,2A0,1,RAPE SPOUSE BY FORCE/FEAR/ETC - 2A0,1
RAPE: FORCE/FEAR/ETC.,2A0,13,RAPE: FORCE/FEAR/ETC. - 2A0,1
RAPE: SPOUSE UNCONSCIOUS OF NATURE OF ACT,2A0,1,RAPE: SPOUSE UNCONSCIOUS OF NATURE OF ACT - 2A0,1
RAPE: VICTIM DRUGGED,2A0,4,RAPE: VICTIM DRUGGED - 2A0,1
RAPE: VICTIM INCAPABLE OF CONSENT,2A0,6,RAPE: VICTIM INCAPABLE OF CONSENT - 2A0,1
RAPE:SPOUSE UNCONSCIOUS OF NATURE OF ACT (F),2A0,1,RAPE:SPOUSE UNCONSCIOUS OF NATURE OF ACT (F) - 2A0,1
RAPE:VIC INCAPABLE OF GIVING CONSENT (F),2A0,127,RAPE:VIC INCAPABLE OF GIVING CONSENT (F) - 2A0,1
RAPE:VICTIM NOT AWARE ACT OCCURRED (F),2A0,11,RAPE:VICTIM NOT AWARE ACT OCCURRED (F) - 2A0,1
RAPE:VICTIM SUBMITS UNDER BELIEF PERSON IS KNOWN TO THEM (F),2A0,1,RAPE:VICTIM SUBMITS UNDER BELIEF PERSON IS KNOWN TO THEM (F) - 2A0,1
RAPE:VICTIM UNAWARE DUE TO PERPETRATORS FRAUD (F),2A0,1,RAPE:VICTIM UNAWARE DUE TO PERPETRATORS FRAUD (F) - 2A0,1
RAPE:VICTIM UNCONSCIOUS OF THE NATURE OF THE ACT,2A0,4,RAPE:VICTIM UNCONSCIOUS OF THE NATURE OF THE ACT - 2A0,1
RAPE:VICTIM WAS UNCONSCIOUS OR ASLEEP (F),2A0,73,RAPE:VICTIM WAS UNCONSCIOUS OR ASLEEP (F) - 2A0,1
RAPE/ETC IN CONCERT WITH FORCE/VIOLENCE (F),2A0,1,RAPE/ETC IN CONCERT WITH FORCE/VIOLENCE (F) - 2A0,1
RAPE/ETC WITH FORCE/VIOLENCE:MINOR 14 YRS OR OLDER (F),2A0,1,RAPE/ETC WITH FORCE/VIOLENCE:MINOR 14 YRS OR OLDER (F) - 2A0,1
AGGRAVATED SEXUAL ASSAULT:MINOR:SODOMY BY FORCE/ETC (F),2A1,1,AGGRAVATED SEXUAL ASSAULT:MINOR:SODOMY BY FORCE/ETC (F) - 2A1,1
CONTINUOUS SEXUAL ABUSE OF CHILD (F),2A1,8,CONTINUOUS SEXUAL ABUSE OF CHILD (F) - 2A1,1
CRIME AGAINST NATURE/SODOMY NOT SPECIFIED,2A1,3,CRIME AGAINST NATURE/SODOMY NOT SPECIFIED - 2A1,1
FORCIBLE PENETRATION W/OBJECT:VICTIM UNDER 10 YEARS OF AGE (F),2A1,4,FORCIBLE PENETRATION W/OBJECT:VICTIM UNDER 10 YEARS OF AGE (F) - 2A1,1
INTERCOURSE:VICTIM UNDER 10 YEARS OF AGE (F),2A1,1,INTERCOURSE:VICTIM UNDER 10 YEARS OF AGE (F) - 2A1,1
ORAL COPULATION,2A1,4,ORAL COPULATION - 2A1,1
ORAL COPULATION BY FORCE OR FEAR,2A1,4,ORAL COPULATION BY FORCE OR FEAR - 2A1,1
ORAL COPULATION BY FORCE OR FEAR (F),2A1,17,ORAL COPULATION BY FORCE OR FEAR (F) - 2A1,1
ORAL COPULATION BY FORCE/THREAT TO RETALIATE (F),2A1,1,ORAL COPULATION BY FORCE/THREAT TO RETALIATE (F) - 2A1,1
ORAL COPULATION W/FORCE OR FEAR (F),2A1,1,ORAL COPULATION W/FORCE OR FEAR (F) - 2A1,1
ORAL COPULATION: VICTIM INTOXICATED/ETC,2A1,1,ORAL COPULATION: VICTIM INTOXICATED/ETC - 2A1,1
ORAL COPULATION:VICTIM UNDER 10 YEARS OF AGE (F),2A1,4,ORAL COPULATION:VICTIM UNDER 10 YEARS OF AGE (F) - 2A1,1
RAPE,2A1,1,RAPE - 2A1,1
RAPE BY FORCE/FEAR (F),2A1,5,RAPE BY FORCE/FEAR (F) - 2A1,1
RAPE OF DRUGGED VIC (F),2A1,1,RAPE OF DRUGGED VIC (F) - 2A1,1
RAPE SPOUSE BY FORCE/FEAR (F),2A1,1,RAPE SPOUSE BY FORCE/FEAR (F) - 2A1,1
RAPE:VIC INCAPABLE OF GIVING CONSENT (F),2A1,3,RAPE:VIC INCAPABLE OF GIVING CONSENT (F) - 2A1,1
RAPE:VICTIM NOT AWARE ACT OCCURRED (F),2A1,1,RAPE:VICTIM NOT AWARE ACT OCCURRED (F) - 2A1,1
RAPE:VICTIM UNCONSCIOUS OF THE NATURE OF THE ACT,2A1,1,RAPE:VICTIM UNCONSCIOUS OF THE NATURE OF THE ACT - 2A1,1
RAPE:VICTIM WAS UNCONSCIOUS OR ASLEEP (F),2A1,4,RAPE:VICTIM WAS UNCONSCIOUS OR ASLEEP (F) - 2A1,1
SEX PEN W/FOREIGN OBJ/ETC:NO CONSENT:VICT/ DEFNDNT:MNTL FACILITY (F),2A1,1,SEX PEN W/FOREIGN OBJ/ETC:NO CONSENT:VICT/ DEFNDNT:MNTL FACILITY (F) - 2A1,1
SEX PENETRATION:FOREIGN OBJ/ETC VICTIM UNAWARE:NATURE OF,2A1,1,SEX PENETRATION:FOREIGN OBJ/ETC VICTIM UNAWARE:NATURE OF - 2A1,1
SEX PENETRATION:FOREIGN OBJECT:VIC DRUGGED (F),2A1,2,SEX PENETRATION:FOREIGN OBJECT:VIC DRUGGED (F) - 2A1,1
SEX PENETRATION:FOREIGN OBJECT/ETC:VICTIM DRUGGED/ETC,2A1,9,SEX PENETRATION:FOREIGN OBJECT/ETC:VICTIM DRUGGED/ETC - 2A1,1
SEX PENETRATION:VICTIM UNAWARE ACT OCCURRED (F),2A1,10,SEX PENETRATION:VICTIM UNAWARE ACT OCCURRED (F) - 2A1,1
SEXUAL PENETRATION W/ FOREIGN OBJECT W/ FORCE,2A1,4,SEXUAL PENETRATION W/ FOREIGN OBJECT W/ FORCE - 2A1,1
SEXUAL PENETRATION W/FORCE/ETC 14 YEARS OR OLDER,2A1,2,SEXUAL PENETRATION W/FORCE/ETC 14 YEARS OR OLDER - 2A1,1
SEXUAL PENETRATION W/FORCE/ETC UNDER 14 YEARS OLD,2A1,2,SEXUAL PENETRATION W/FORCE/ETC UNDER 14 YEARS OLD - 2A1,1
SEXUAL PENETRATION W/FORCE/ETC UNDER 14 YEARS OLD (F),2A1,3,SEXUAL PENETRATION W/FORCE/ETC UNDER 14 YEARS OLD (F) - 2A1,1
SEXUAL PENETRATION W/FORCE/FEAR/ETC (F),2A1,70,SEXUAL PENETRATION W/FORCE/FEAR/ETC (F) - 2A1,1
SEXUAL PENETRATION W/FOREIGN OBJ:VICTIM INCAPABLE CONSENT,2A1,4,SEXUAL PENETRATION W/FOREIGN OBJ:VICTIM INCAPABLE CONSENT - 2A1,1
SEXUAL PENETRATION W/FOREIGN OBJECT; VICTIM INCAPABLE OF CONSENT,2A1,1,SEXUAL PENETRATION W/FOREIGN OBJECT; VICTIM INCAPABLE OF CONSENT - 2A1,1
SEXUAL PENETRATION W/FRGN OBJ:VIC INCAPABLE CONSENT (F),2A1,2,SEXUAL PENETRATION W/FRGN OBJ:VIC INCAPABLE CONSENT (F) - 2A1,1
SODOMY BY FORCE OR FEAR,2A1,1,SODOMY BY FORCE OR FEAR - 2A1,1
SODOMY BY FORCE/VIOLENCE/FEAR,2A1,1,SODOMY BY FORCE/VIOLENCE/FEAR - 2A1,1
